"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-May-2024","EQ","102.75","103.95","99.40","102.30","100.25","100.20","101.04","115.85","42.75","8,71,26,691","8,80,28,55,551.95","2,51,308"
"27-May-2024","EQ","103.60","104.70","100.65","102.45","102.65","102.30","102.62","115.85","42.75","9,64,93,592","9,90,17,31,128.25","2,72,150"
"24-May-2024","EQ","105.65","106.30","101.30","105.30","102.80","102.45","103.90","115.85","42.55","9,13,61,716","9,49,22,95,069.30","2,83,325"
"23-May-2024","EQ","106.00","108.70","104.30","105.75","105.05","105.30","106.45","115.85","42.55","12,11,49,201","12,89,65,59,290.50","3,11,988"
"22-May-2024","EQ","105.00","107.65","103.00","103.10","105.90","105.75","105.31","115.85","42.55","16,24,00,701","17,10,28,78,592.60","3,81,195"
"21-May-2024","EQ","98.60","104.50","97.20","97.90","103.55","103.10","101.89","115.85","42.55","20,67,93,531","21,07,07,09,550.85","4,66,175"
"18-May-2024","EQ","97.00","98.50","95.50","99.25","97.75","97.90","97.50","115.85","42.55","2,81,00,264","2,73,98,18,455.20","1,02,225"
"17-May-2024","EQ","99.00","100.60","98.25","98.20","99.30","99.25","99.27","115.85","42.55","8,21,55,121","8,15,51,85,454.80","2,21,313"
"16-May-2024","EQ","98.30","99.50","97.20","97.40","98.35","98.20","98.48","115.85","42.55","8,06,51,718","7,94,23,65,435.75","1,97,118"
"15-May-2024","EQ","99.35","100.40","96.85","98.95","97.25","97.40","98.56","115.85","42.55","8,41,17,827","8,29,03,69,327.20","1,96,166"
"14-May-2024","EQ","94.00","99.40","93.85","93.75","98.80","98.95","97.17","115.85","42.55","10,52,22,356","10,22,43,82,371.35","2,35,289"
"13-May-2024","EQ","94.80","94.90","91.40","94.50","93.55","93.75","93.08","115.85","42.55","6,27,98,125","5,84,49,55,158.20","1,81,930"
"10-May-2024","EQ","94.30","95.50","90.40","93.65","94.35","94.50","93.46","115.85","42.55","9,96,53,414","9,31,34,38,513.55","2,13,887"
"09-May-2024","EQ","98.00","99.00","92.85","98.85","93.75","93.65","95.83","115.85","42.55","8,34,85,011","8,00,05,82,081.65","2,49,450"
"08-May-2024","EQ","97.40","100.60","95.55","97.10","98.90","98.85","98.47","115.85","42.55","11,31,13,556","11,13,87,75,028.70","2,26,999"
"07-May-2024","EQ","101.90","102.35","96.05","101.75","97.40","97.10","99.26","115.85","42.55","10,87,28,559","10,79,24,22,193.20","2,62,446"
"06-May-2024","EQ","101.00","103.50","97.00","99.25","101.55","101.75","101.16","115.85","42.55","18,87,76,678","19,09,64,86,645.65","3,84,152"
"03-May-2024","EQ","98.80","101.35","97.30","98.00","99.10","99.25","99.30","115.85","42.55","11,39,71,395","11,31,73,06,431.60","2,31,314"
"02-May-2024","EQ","97.45","99.20","97.00","96.20","98.00","98.00","98.08","115.85","42.55","9,89,93,366","9,70,93,30,347.10","2,27,490"
"30-Apr-2024","EQ","93.95","96.70","93.35","93.40","95.95","96.20","95.32","115.85","42.55","11,04,94,020","10,53,27,11,866.05","1,93,818"
"29-Apr-2024","EQ","93.45","94.40","92.70","92.55","93.45","93.40","93.63","115.85","42.55","5,38,24,312","5,03,96,69,496.00","1,21,252"
"26-Apr-2024","EQ","91.45","94.00","91.15","91.05","92.60","92.55","92.58","115.85","41.90","6,61,65,102","6,12,54,02,420.85","1,33,022"
"25-Apr-2024","EQ","90.40","91.65","90.00","90.25","91.00","91.05","90.93","115.85","41.90","3,43,51,777","3,12,37,64,238.90","85,877"
"24-Apr-2024","EQ","90.60","91.20","89.70","89.75","90.15","90.25","90.45","115.85","41.90","3,25,05,222","2,94,00,37,703.45","79,439"
"23-Apr-2024","EQ","89.10","90.60","88.90","88.55","89.80","89.75","89.95","115.85","41.90","4,25,58,278","3,82,79,09,548.70","87,585"
"22-Apr-2024","EQ","88.80","89.70","88.30","87.15","88.60","88.55","88.88","115.85","41.90","3,26,90,525","2,90,55,79,390.80","84,805"
"19-Apr-2024","EQ","88.70","89.15","87.00","89.50","87.40","87.15","87.82","115.85","41.80","7,42,07,139","6,51,68,34,579.30","1,50,751"
"18-Apr-2024","EQ","91.70","92.95","89.05","91.20","89.65","89.50","91.38","115.85","41.80","4,76,81,863","4,35,72,55,862.80","1,17,015"
"16-Apr-2024","EQ","88.00","91.80","87.70","88.95","90.95","91.20","90.26","115.85","41.80","5,03,48,939","4,54,43,38,151.75","1,12,312"
"15-Apr-2024","EQ","88.35","90.60","86.85","92.25","89.00","88.95","88.95","115.85","41.80","7,11,02,656","6,32,43,67,835.65","2,08,813"
"12-Apr-2024","EQ","92.10","94.20","91.85","92.85","92.15","92.25","92.84","115.85","39.90","4,84,18,306","4,49,53,72,343.30","1,17,120"
"10-Apr-2024","EQ","91.35","93.30","90.70","91.15","92.90","92.85","92.27","115.85","39.90","4,82,74,768","4,45,43,87,629.75","1,18,031"
"09-Apr-2024","EQ","92.25","92.95","90.30","92.35","91.30","91.15","91.71","115.85","39.90","4,36,96,280","4,00,73,69,224.95","1,17,069"
"08-Apr-2024","EQ","94.50","94.70","92.00","93.95","92.20","92.35","92.99","115.85","39.90","4,40,69,047","4,09,78,48,161.65","1,46,473"
"05-Apr-2024","EQ","95.00","95.35","92.70","94.70","93.95","93.95","94.05","115.85","39.90","7,42,66,481","6,98,50,45,086.90","1,77,056"
"04-Apr-2024","EQ","93.80","95.50","93.40","93.20","94.90","94.70","94.40","115.85","39.90","8,72,62,326","8,23,72,19,098.65","2,05,799"
